"id","username","age","email","password","traffic_convenience","service_quality","visitor_flow_rate","cultural_atmosphere","natural_landscape","price_performance_ratio"
"1","马嘉帅","20","majiashuai@bupt.edu.cn","123456",,,,,,
"2","Herbert Morris","16","herbert3@qq.com","ob6g5e6oos",,,,,,
"3","徐岚","20","xulan@outlook.com","gepfuj3vmv",,,,,,
"4","Marilyn Brooks","19","marilyn1016@qq.com","p1v2hdx7l5",,,,,,
"5","Peter Robinson","17","peterrobi@gmail.com","2qoclvxxlw",,,,,,
"6","蔡睿","21","cai04@outlook.com","4ghovze40e",,,,,,
"7","Charles Rodriguez","19","rodriguezcharles1111@outlook.com","za3ql8b9jv",,,,,,
"8","Shannon Kelly","16","skelly@outlook.com","h7d7rg0c4g",,,,,,
"9","Paula Lopez","18","paulal@163.com","ffb6dr2pl2",,,,,,
"10","邵子韬","19","zitao1@outlook.com","xqooveg7pj",,,,,,
"11","Clifford Coleman","20","coleman8@outlook.com","ipomh1gnld",,,,,,
"12","汤岚","22","latang812@gmail.com","iqf46avmwf",,,,,,
"13","孙宇宁","22","sunyun@outlook.com","7kc5cbzl86",,,,,,
"14","郝安琪","22","haoanqi@qq.com","ut59h5ehqg",,,,,,
"16","Wanda Nelson","18","nwa7@qq.com","4w7cd4swyz",,,,,,
"17","夏震南","18","xia927@qq.com","rckb87m6zi",,,,,,
"18","Nancy Wilson","24","nwilson@outlook.com","72zl1goz4s",,,,,,
"19","韩云熙","21","hyu@gmail.com","qauoderge5",,,,,,
"20","Raymond West","19","raymondwes@gmail.com","iywalwukkk",,,,,,
"21","姚致远","19","yaozhiyuan4@gmail.com","06asloogk7",,,,,,
"22","龙震南","19","zhennlo914@outlook.com","ca18ml0k9f",,,,,,
"23","Dorothy Wallace","19","wallace14@163.com","neelu3gnyz",,,,,,
"24","Shannon Olson","17","oshan@outlook.com","qpn468grde",,,,,,
"25","Gloria Roberts","17","grobe7@163.com","zi9wry3i2l",,,,,,
"26","戴詩涵","21","shd@163.com","6bq5csxopw",,,,,,
"27","Michelle Gutierrez","22","gmichelle@gmail.com","jav4nwcbt9",,,,,,
"28","雷璐","24","lulei7@outlook.com","7c3f3vpdti",,,,,,
"29","Anthony Robertson","22","robertsonantho@gmail.com","khomk7ll4t",,,,,,
"30","常詩涵","16","chshihan@gmail.com","coqp1jwb5z",,,,,,
"31","Stephen Gibson","24","stephengibson@gmail.com","ew8nke9xyi",,,,,,
"32","Josephine Reynolds","23","rjose3@gmail.com","ep1jl7ura8",,,,,,
"33","Gladys Henderson","15","gladys816@outlook.com","11ttiq05tw",,,,,,
"34","丁璐","23","lu1213@outlook.com","sktq3znplr",,,,,,
"35","Sara Marshall","18","sarma08@gmail.com","myvaz518e6",,,,,,
"36","陆云熙","23","yunxilu@163.com","y73rsy9ja1",,,,,,
"37","范安琪","23","anqif@outlook.com","3cq4hpw6ht",,,,,,
"38","Jessica Wagner","20","jessicaw8@gmail.com","yabbtlucak",,,,,,
"39","谭震南","15","tanzhennan1012@outlook.com","xsx6thkp4k",,,,,,
"40","Doris Graham","17","grdo@gmail.com","dd38zl0ce6",,,,,,
"41","钱子异","19","ziqi@163.com","yyphcwcmvp",,,,,,
"42","Eva Martin","17","evamartin5@qq.com","eihcemcuub",,,,,,
"43","段安琪","17","and@outlook.com","mxzc3i1ahg",,,,,,
"44","Carrie Thomas","16","ct2@163.com","fcnoe352jd",,,,,,
"45","Walter Gardner","21","waltergar@gmail.com","frvgmr2zxf",,,,,,
"46","孟秀英","17","mx9@outlook.com","76o7qw66xu",,,,,,
"47","孔宇宁","22","yuningkong4@gmail.com","z6h14lqhgu",,,,,,
"48","Lois Jenkins","23","jenkinslois@gmail.com","fdz3k766wu",,,,,,
"49","Gerald Smith","16","gerald3@qq.com","vf82rsa0sl",,,,,,
"50","熊睿","21","xiongrui8@outlook.com","3zzf7fevl8",,,,,,
"51","mjs","21","mjs@outlook.com","123",,,,,,
"52","mjs2","0","ahdsjanj@123","123",,,,,,
"53","mjs3","99","3332@134.com","123",,,,,,
"54","Mason","21","mjs1310192022@163.com","12345",,,,,,
